timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584583625,0.107,0.042,0.015,0.004,0.009,1080,0.0
1750584583627,0.043,0.014,0.004,0.003,0.001,1080,481.3
1750584583633,0.050,0.014,0.005,0.004,0.002,1080,159.7
1750584583635,0.194,0.014,0.132,0.004,0.001,1080,661.1
1750584583640,0.358,0.015,0.005,0.004,0.001,1080,200.0
1750584583641,0.259,0.013,0.004,0.003,0.001,1080,745.6
1750584583645,0.045,0.013,0.004,0.003,0.001,1080,237.2
1750584583654,0.056,0.014,0.005,0.004,0.002,1080,113.1
1750584583660,0.046,0.015,0.005,0.004,0.001,1080,186.8
1750584583661,0.041,0.013,0.004,0.004,0.001,1080,705.7
1750584583677,0.061,0.014,0.005,0.004,0.001,1080,62.4
1750584583678,0.043,0.014,0.004,0.004,0.001,1080,792.3
1750584583681,0.048,0.014,0.004,0.004,0.001,1080,386.0
1750584583686,0.042,0.014,0.004,0.004,0.001,1080,211.7
1750584583689,0.039,0.013,0.004,0.004,0.001,1080,312.9
1750584583693,0.038,0.013,0.004,0.003,0.000,1080,256.3
1750584583701,0.049,0.014,0.005,0.004,0.001,1080,118.2
1750584583708,0.046,0.015,0.005,0.004,0.002,1080,151.5
1750584583709,0.034,0.013,0.004,0.003,0.001,1080,1095.0
1750584583713,0.051,0.015,0.005,0.004,0.001,1080,232.1
1750584583717,0.041,0.013,0.004,0.003,0.001,1080,239.5
1750584583721,0.040,0.013,0.004,0.003,0.000,1080,280.0
1750584583725,0.039,0.013,0.004,0.003,0.000,1080,249.5
1750584583740,0.056,0.015,0.005,0.004,0.002,1080,65.7
1750584583741,0.043,0.014,0.004,0.003,0.000,1080,1347.4
1750584583745,0.057,0.015,0.005,0.004,0.001,1080,216.4
1750584583749,0.039,0.014,0.004,0.003,0.001,1080,289.8
1750584583753,0.044,0.014,0.005,0.003,0.000,1080,250.7
