timestamp_ms,total_time_us,preprocess_us,find_gap_us,find_best_point_us,control_us,scan_size,frequency_hz
1750577015102,94.752,19.3,5.0,3.7,8.5,1080,0.0
1750577015103,69.376,11.1,4.4,3.4,0.2,1080,7370.9
1750577015119,70.959,12.5,5.1,4.0,1.5,1080,61.8
1750577015121,34.751,11.6,4.6,3.9,0.8,1080,525.8
1750577015126,55.209,12.0,20.6,4.0,1.1,1080,200.9
1750577015148,51.043,12.2,4.8,3.8,1.5,1080,44.9
1750577015149,33.292,11.5,4.6,3.5,0.6,1080,788.9
1750577015153,69.293,31.7,4.9,3.9,1.6,1080,261.8
1750577015157,69.334,12.2,4.9,3.9,1.9,1080,241.8
1750577015164,48.501,12.3,5.0,4.0,1.6,1080,143.0
1750577015165,41.335,11.5,4.6,3.5,0.4,1080,1163.1
1750577015170,49.918,11.9,5.0,3.9,1.4,1080,200.7
1750577015172,45.793,11.5,4.5,3.6,0.4,1080,401.4
1750577015177,257.255,11.8,37.5,13.8,2.0,1080,242.6
1750577015190,46.667,12.0,5.0,4.0,1.4,1080,76.8
1750577015193,59.960,12.4,5.0,3.9,1.4,1080,290.2
1750577015202,48.626,12.7,5.0,4.2,1.4,1080,117.2
1750577015204,36.084,11.7,4.6,3.8,0.9,1080,337.9
1750577015209,42.418,12.2,5.0,3.7,1.2,1080,202.9
1750577015214,45.375,12.4,5.0,3.8,1.4,1080,202.9
1750577015218,45.042,12.4,5.0,3.8,1.2,1080,310.9
1750577015221,43.000,12.7,4.8,3.6,1.5,1080,266.4
1750577015225,45.209,12.3,5.1,3.8,1.6,1080,267.3
1750577015230,43.584,12.1,4.9,3.7,1.6,1080,221.6
1750577015233,35.834,11.8,4.8,3.5,1.0,1080,331.6
1750577015237,38.334,11.9,4.8,3.7,0.9,1080,219.6
1750577015241,44.459,11.8,5.1,3.8,1.0,1080,278.0
1750577015246,47.792,12.0,4.9,4.0,1.5,1080,184.9
1750577015249,39.792,11.8,4.5,3.8,1.6,1080,346.4
1750577015253,50.709,12.8,5.0,4.2,1.5,1080,274.7
1750577015257,41.917,11.6,4.8,3.7,1.1,1080,221.0
1750577015263,48.584,12.8,4.9,4.0,1.4,1080,159.1
1750577015264,28.751,11.1,4.4,3.5,0.4,1080,1153.0
